x y theta v w
0 0 1.19031 0.538504 0.000517201
0.0199987 0.0499992 1.19036 0.538466 0.00103442
0.0399893 0.0999933 1.19051 0.538352 0.0020692
0.059964 0.149978 1.19077 0.538161 0.0031047
0.0799147 0.199947 1.19114 0.537895 0.00414128
0.0998334 0.249896 1.1916 0.537553 0.0051793
0.119712 0.29982 1.19217 0.537135 0.00621913
0.139543 0.349714 1.19285 0.536642 0.00726113
0.159318 0.399573 1.19362 0.536073 0.00830566
0.17903 0.449393 1.19451 0.53543 0.00935309
0.198669 0.499167 1.19549 0.534711 0.0104038
0.21823 0.548892 1.19659 0.533918 0.0114581
0.237703 0.598561 1.19779 0.533051 0.0125164
0.257081 0.648171 1.19909 0.532111 0.0135791
0.276356 0.697716 1.2005 0.531097 0.0146465
0.29552 0.747191 1.20202 0.53001 0.0157191
0.314567 0.796591 1.20365 0.528851 0.0167972
0.333487 0.845912 1.20538 0.52762 0.0178811
0.352274 0.895148 1.20722 0.526318 0.0189713
0.37092 0.944294 1.20918 0.524945 0.0200682
0.389418 0.993347 1.21124 0.523502 0.0211721
0.40776 1.0423 1.21341 0.521989 0.0222834
0.425939 1.09115 1.2157 0.520408 0.0234025
0.443948 1.13989 1.21809 0.518759 0.0245299
0.461779 1.18851 1.2206 0.517042 0.0256659
0.479426 1.23702 1.22323 0.515259 0.0268109
0.49688 1.2854 1.22596 0.51341 0.0279654
0.514136 1.33366 1.22882 0.511496 0.0291297
0.531186 1.38178 1.23179 0.509518 0.0303042
0.548024 1.42976 1.23488 0.507477 0.0314895
0.564642 1.4776 1.23809 0.505374 0.0326859
0.581035 1.52529 1.24142 0.503209 0.0338938
0.597195 1.57283 1.24487 0.500984 0.0351136
0.613117 1.62022 1.24844 0.4987 0.0363459
0.628793 1.66744 1.25214 0.496357 0.037591
0.644218 1.71449 1.25596 0.493958 0.0388494
0.659385 1.76137 1.25991 0.491502 0.0401215
0.674288 1.80808 1.26399 0.488991 0.0414078
0.688921 1.8546 1.26819 0.486426 0.0427088
0.703279 1.90094 1.27253 0.483808 0.0440248
0.717356 1.94709 1.277 0.481139 0.0453564
0.731146 1.99305 1.2816 0.478419 0.046704
0.744643 2.0388 1.28634 0.475651 0.048068
0.757843 2.08435 1.29122 0.472835 0.049449
0.770739 2.1297 1.29623 0.469972 0.0508474
0.783327 2.17483 1.30139 0.467064 0.0522638
0.795602 2.21974 1.30669 0.464112 0.0536984
0.807558 2.26443 1.31213 0.461117 0.0551519
0.819192 2.3089 1.31772 0.458082 0.0566248
0.830497 2.35313 1.32346 0.455006 0.0581174
0.841471 2.39713 1.32934 0.451893 0.0596302
0.852108 2.44089 1.33538 0.448742 0.0611638
0.862404 2.4844 1.34158 0.445556 0.0627186
0.872355 2.52767 1.34793 0.442336 0.0642951
0.881958 2.57068 1.35444 0.439084 0.0658937
0.891207 2.61344 1.36111 0.435801 0.0675149
0.9001 2.65593 1.36794 0.432488 0.0691592
0.908634 2.69816 1.37494 0.429148 0.0708269
0.916803 2.74012 1.38211 0.425781 0.0725186
0.924606 2.78181 1.38945 0.42239 0.0742347
0.932039 2.82321 1.39696 0.418975 0.0759755
0.939099 2.86434 1.40465 0.41554 0.0777415
0.945784 2.90518 1.41251 0.412084 0.0795331
0.95209 2.94572 1.42056 0.40861 0.0813506
0.958016 2.98598 1.42878 0.40512 0.0831945
0.963558 3.02593 1.4372 0.401614 0.0850649
0.968715 3.06558 1.4458 0.398096 0.0869624
0.973485 3.10493 1.45459 0.394565 0.088887
0.977865 3.14397 1.46358 0.391025 0.0908392
0.981854 3.18269 1.47276 0.387477 0.0928191
0.98545 3.22109 1.48214 0.383922 0.094827
0.988652 3.25917 1.49173 0.380363 0.096863
0.991458 3.29692 1.50152 0.3768 0.0989272
0.993868 3.33435 1.51152 0.373237 0.10102
0.995881 3.37144 1.52172 0.369673 0.103141
